ID,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Hyundai,EonERA PLUS,"£330,399.00",2016,Hyderabad,Petrol,10674KM,Manual,2,7350
1,Maruti,Wagon R 1.0LXI,"£350,199.00",2011,Hyderabad,Petrol,20979KM,Manual,1,7790
2,Maruti,Alto K10LXI,"£229,199.00",2011,Hyderabad,Petrol,47330KM,Manual,2,5098
3,Maruti,RitzVXI BS IV,"£306,399.00",2011,Hyderabad,Petrol,19662KM,Manual,1,6816
4,Tata,NanoTWIST XTA,"£208,699.00",2015,Hyderabad,Petrol,11256KM,Automatic,1,4642
5,Maruti,AltoLXI,"£249,699.00",2012,Hyderabad,Petrol,28434KM,Manual,1,5554
6,Maruti,AltoLXI,"£240,599.00",2011,Hyderabad,Petrol,31119KM,Manual,1,5352
7,Maruti,Alto K10LXI,"£191,999.00",2010,Hyderabad,Petrol,10910KM,Manual,1,4271
8,Honda,Brio1.2 S MT I VTEC,"£362,299.00",2013,Hyderabad,Petrol,40362KM,Manual,2,8059
9,Maruti,Wagon R 1.0VXI,"£385,799.00",2014,Hyderabad,Petrol,15673KM,Manual,2,8582
10,Maruti,AltoLXI,"£229,499.00",2011,Hyderabad,Petrol,35039KM,Manual,1,5105
11,Hyundai,i10SPORTZ 1.1 IRDE2,"£401,599.00",2015,Hyderabad,Petrol,32606KM,Manual,2,8933
12,Hyundai,i10MAGNA 1.2 KAPPA2,"£368,999.00",2013,Hyderabad,Petrol,35377KM,Manual,1,8208
13,Honda,Brio1.2 V MT I VTEC,"£405,199.00",2012,Hyderabad,Petrol,32173KM,Manual,1,9013
14,Maruti,SwiftVXI,"£403,899.00",2011,Hyderabad,Petrol,46729KM,Manual,1,8985
15,Maruti,Alto 800LXI,"£234,999.00",2012,Hyderabad,Petrol,44068KM,Manual,2,5227
16,Maruti,AltoLXI,"£241,599.00",2011,Hyderabad,Petrol,26790KM,Manual,1,5374
17,Hyundai,i10MAGNA 1.2 KAPPA2,"£328,999.00",2012,Hyderabad,Petrol,44883KM,Manual,1,7318
18,Hyundai,i10SPORTZ 1.1 IRDE2,"£361,899.00",2014,Hyderabad,Petrol,28446KM,Manual,1,8050
19,Maruti,Alto 800VXI,"£300,599.00",2015,Hyderabad,Petrol,29145KM,Manual,1,6687
20,Maruti,Alto K10VXI,"£356,099.00",2017,Hyderabad,Petrol,24809KM,Manual,2,7921
21,Maruti,Alto 800VXI,"£295,099.00",2015,Hyderabad,Petrol,25048KM,Manual,2,6564
22,Maruti,Alto K10LXI,"£226,699.00",2011,Hyderabad,Petrol,47359KM,Manual,2,5043
23,Hyundai,Santro XingGL PLUS,"£348,899.00",2013,Hyderabad,Petrol,13658KM,Manual,2,7761
24,Maruti,Alto K10VXI,"£283,199.00",2012,Hyderabad,Petrol,28852KM,Manual,2,6300
25,Maruti,AltoLXI,"£255,799.00",2012,Hyderabad,Petrol,37800KM,Manual,1,5690
26,Hyundai,Grand i10ASTA 1.2 VTVT,"£535,699.00",2017,Hyderabad,Petrol,19187KM,Manual,1,11916
27,Maruti,Alto K10LXI,"£283,399.00",2013,Hyderabad,Petrol,25953KM,Manual,1,6304
28,Maruti,Eeco5 STR WITH AC PLUSHTR,"£452,799.00",2019,Hyderabad,Petrol,15398KM,Manual,1,10072
29,Maruti,RitzVXI BS IV,"£367,099.00",2012,Hyderabad,Petrol,24079KM,Manual,1,8166
30,Maruti,Alto 800LXI,"£349,399.00",2018,Hyderabad,Petrol,18313KM,Manual,1,7772
31,Renault,KwidRXT 1.0 EASY-R AT OPTION,"£480,999.00",2019,Hyderabad,Petrol,17078KM,Automatic,1,10700
32,Hyundai,i10MAGNA 1.2 KAPPA2,"£333,899.00",2012,Hyderabad,Petrol,46986KM,Manual,1,7427
33,Maruti,AltoVXI,"£375,299.00",2019,Hyderabad,Petrol,9222KM,Manual,1,8348
34,Maruti,AltoLXI,"£218,699.00",2011,Hyderabad,Petrol,59373KM,Manual,2,4865
35,Maruti,Alto 800LXI,"£258,199.00",2013,Hyderabad,Petrol,42131KM,Manual,1,5743
36,Maruti,Alto K10LXI,"£254,299.00",2012,Hyderabad,Petrol,36870KM,Manual,2,5657
37,Maruti,Alto K10VXI,"£410,699.00",2019,Hyderabad,Petrol,11699KM,Manual,1,9136
38,Maruti,OMNI ESTD,"£203,699.00",2012,Hyderabad,Petrol,21950KM,Manual,1,4531
39,Hyundai,i10SPORTZ 1.2 KAPPA2,"£336,299.00",2012,Hyderabad,Petrol,45099KM,Manual,1,7481
40,Hyundai,i10SPORTZ 1.1 IRDE2,"£401,699.00",2014,Hyderabad,Petrol,27828KM,Manual,1,8936
41,Hyundai,i10SPORTZ 1.2 KAPPA2,"£338,699.00",2011,Hyderabad,Petrol,39998KM,Manual,1,7534
42,Hyundai,i20MAGNA 1.2 VTVT,"£357,399.00",2012,Hyderabad,Petrol,53847KM,Manual,1,7950
43,Maruti,AltoLXI,"£238,099.00",2012,Hyderabad,Petrol,34881KM,Manual,1,5296
44,Maruti,SwiftVXI,"£613,499.00",2018,Hyderabad,Petrol,19527KM,Manual,2,13647
45,Hyundai,i10SPORTZ 1.2 KAPPA2,"£314,399.00",2011,Hyderabad,Petrol,57568KM,Manual,2,6994
46,Hyundai,Grand i10SPORTS 1.2 VTVT,"£498,899.00",2017,Hyderabad,Petrol,18950KM,Manual,2,11098
47,Honda,,"£630,399.00",2019,Hyderabad,Petrol,7093KM,,1,14023
48,Maruti,Wagon R 1.0VXI,"£301,099.00",2011,Hyderabad,Petrol,61836KM,Manual,2,6698
